timestamp,case_id,ai_root_cause,ai_confidence,expected_fault,comparison_result,review_status,corrected_answer,reviewer_notes
2026-08-09 20:46:37,C006,"Voice VLAN 50 is not configured on access interface Fa0/10, so IP phones cannot join the voice VLAN and obtain DHCP addresses.",0.92,Missing VLAN - voice VLAN 50 not configured on the access port,Match,Accepted,,
2026-08-09 20:25:18,C001,Duplicate IP address configured on two hosts in the same subnet.,High,Duplicate IP address assigned to PC-A and PC-B,Match,Edited,Voice VLAN 50 missing on access port.,Missing VLAN: Voice VLAN 50 is not configured on interface Fa0/10.
2026-08-09 20:17:15,C002,"Client default gateway does not match the router/switch SVI address, so off-subnet traffic is dropped.",High,Missing route on R1 for other VLAN subnets (no routing protocol or static route configured),No Match,Accepted,,
2026-08-01 11:55:00,C022,Unable to confidently determine a specific root cause from the available evidence.,Low,Missing route/network statement - subnet 172.16.5.0/24 not included in OSPF network statements,No Match,Rejected,"R13's Gi0/2 interface (172.16.5.1/24) is up, but 'show ip protocols' confirms 172.16.0.0/16 is not listed under OSPF's advertised networks. Add a network statement covering 172.16.5.0/24 (or the summarized /16) under 'router ospf 1' so the subnet is advertised to neighbors.",Same gap as C019 - no OSPF network-statement rule exists in the mock AI yet. Rejected and provided the specific config fix; flagged for adding an OSPF-network-statement rule to ai/diagnosis.py.
2026-08-01 11:30:00,C019,Unable to confidently determine a specific root cause from the available evidence.,Low,IPsec Phase 1 (ISAKMP) negotiation failing likely due to a mismatched pre-shared key,No Match,Rejected,"show crypto isakmp sa returns no active SAs, meaning Phase 1 (ISAKMP) negotiation is failing between R11 and R12. Most likely cause is a mismatched pre-shared key or ISAKMP policy; verify 'show crypto isakmp policy' and the configured keys on both routers match exactly.",The mock AI has no rule for VPN/IPsec cases and fell back to the generic low-confidence answer. Rejected and supplied the real diagnosis - a good example of why every AI answer needs a human in the loop.
2026-08-01 11:00:00,C015,"Spanning Tree Protocol is blocking a port that is needed for traffic to flow, due to root bridge placement.",Medium,"Spanning Tree Protocol is disabled on VLAN 10, causing a Layer 2 loop",Partial Match,Edited,"STP is not blocking a port here - it's disabled entirely on VLAN 10 between SW7 and SW8, which is why the redundant links are looping. Re-enable spanning-tree on VLAN 10 with 'spanning-tree vlan 10' rather than adjusting root bridge priority.",AI assumed STP was active but blocking; the actual show output indicates STP was disabled outright. Edited to correct the underlying assumption.
2026-08-01 10:35:00,C012,"An access control list is blocking legitimate traffic, either through an explicit deny or ACL ordering.",Medium,ACL entry explicitly denies traffic to server 192.168.60.10,Partial Match,Edited,"WAN-IN access list, line 10, explicitly denies all IP traffic to host 192.168.60.10 specifically - not a general ordering issue. Remove or scope down that deny line, or add a more specific permit above it for the partner's source range.",AI's answer was too generic about 'ACL ordering'. Edited to point at the exact line and host so the fix is actionable.
2026-08-01 10:10:00,C006,"The switchport is assigned to the wrong access VLAN, isolating the device from its intended network.",High,Missing VLAN - voice VLAN 50 not configured on the access port,Partial Match,Edited,"Fa0/10 is a data-only access port (VLAN 10); the real problem is that no voice VLAN command was applied for VLAN 50, not that the access VLAN itself is wrong. Add 'switchport voice vlan 50' to Fa0/10.",AI assumed a wrong-VLAN scenario but this is a missing voice VLAN configuration on an otherwise-correct data port. Edited to name the specific fix.
2026-08-01 09:45:00,C011,"NAT (dynamic overload or static mapping) is misconfigured, breaking inside-to-outside or outside-to-inside connectivity.",Medium,NAT not configured (missing 'ip nat inside'/'ip nat outside' and NAT overload statement),Match,Accepted,,Confirmed no NAT statements exist on R5 at all; matches the AI's finding.
2026-08-01 09:20:00,C007,Trunk link is misconfigured (missing VLAN in allowed list or native VLAN mismatch).,High,Missing VLAN 60 in the trunk allowed list on SW5 Gi0/1,Match,Accepted,,show interfaces trunk confirms VLAN 60 is absent from the allowed list on Gi0/1.
2026-08-01 09:00:00,C001,Duplicate IP address configured on two hosts in the same subnet.,High,Duplicate IP address assigned to PC-A and PC-B,Match,Accepted,,"ARP table confirms both PC-A and PC-B hold 192.168.10.5. Clean, correct diagnosis."
2026-08-22 08:37:32,C016,"OSPF neighbor adjacency has failed, likely due to area, timer, authentication, or ACL mismatch.",Medium,"OSPF DR/BDR election failure, likely due to interface priority set to 0 on both routers",Partial Match,Accepted,,
